author	title	journal	link	year	gene	type
"Yoshiura, K.-I. et al."	A SNP in the ABCC11 gene is the determinant of human earwax type.	Nat. Genet.	https://www.nature.com/articles/ng1733	2006	abcc11	article
"Rodriguez, S. et al."	Dependence of deodorant usage on ABCC11 genotype: scope for personalized genetics in personal hygiene.	J. Invest. Dermatol.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3674910/	2013	abcc11	article
			https://en.wikipedia.org/wiki/ABO_(gene)		abo	wikipedia
"Reid, M. E. et al."	DNA-based methods in the immunohematology reference laboratory.	Transfus. Apher. Sci.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3058268/	2011	abo	article
"Yang, N. et al."	ACTN3 genotype is associated with human elite athletic performance.	Am. J. Hum. Genet.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1180686/	2003	actn3	article
"MacArthur, D."	"The gene for Jamaican sprinting success? No, not really."		https://www.wired.com/2008/10/the-gene-for-jamaican-sprinting-success-no-not-really/	2008	actn3	blog
"Morgan, C. J. A. et al."	AKT1 genotype moderates the acute psychotomimetic effects of naturalistically smoked cannabis in young cannabis smokers.	Transl. Psychiatry	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4872423/	2016	akt1	article
"Yoshida, A. et al."	Molecular abnormality of an inactive aldehyde dehydrogenase variant commonly found in Orientals.	Proc. Natl. Acad. Sci. U.S.A.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC344651/	1984	aldh2	article
			https://en.wikipedia.org/wiki/Apolipoprotein_E		apoe	wikipedia
"Ellis, J. A. et al."	Polymorphism of the androgen receptor gene is associated with male pattern baldness.	J. Invest. Dermatol.	https://www.sciencedirect.com/science/article/pii/S0022202X15411753?via%3Dihub	2001	ar	article
"Hillmer, A. M. et al."	Genetic variation in the human androgen receptor gene is the major determinant of common early-onset androgenetic alopecia.	Am. J. Hum. Genet.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1226186/	2005	ar	article
"Feliciano, P."	Melanoma sequencing identifies new druggable targets		http://blogs.nature.com/freeassociation/2011/08/melanoma_sequencing_identifies_1.html	2011	braf	blog
"Davies, H. et al."	Mutations of the BRAF gene in human cancer.	Nature	https://www.nature.com/articles/nature00766	2002	braf	article
			https://en.wikipedia.org/wiki/BRCA1#Mutations_and_cancer_risk			wikipedia
"Kuchenbaecker, K. B. et al."	"Risks of Breast, Ovarian, and Contralateral Breast Cancer for BRCA1 and BRCA2 Mutation Carriers."	JAMA	https://jamanetwork.com/journals/jama/fullarticle/2632503	2017	brca1	article
"Thorn, C. F. et al."	PharmGKB summary:  very important pharmacogene information for CYP1A2.	Pharmacogenet. Genomics	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3346273/	2012	cyp1a2	article
"Fujimoto, A. et al."	A scan for genetic determinants of human hair morphology: EDAR is associated with Asian hair thickness.	Hum. Mol. Genet.	https://academic.oup.com/hmg/article/17/6/835/601141	2008	edar	article
"Tan, J. et al."	The adaptive variant EDARV370A is associated with straight hair in East Asians.	Hum. Genet.	https://link.springer.com/article/10.1007%2Fs00439-013-1324-1	2013	edar	article
"la Chapelle, de, A. et al."	Truncated erythropoietin receptor causes dominantly inherited benign human erythrocytosis.	Proc. Natl. Acad. Sci. U.S.A.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC46538/	1993	epor	article
			https://www.omim.org/entry/134934#0003		fgfr3	database
"Willcox, B. J. et al."	FOXO3A genotype is strongly associated with human longevity.	PNAS	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2544566/	2008	foxo3	article
"Kelsell, D. P. et al."	Connexin 26 mutations in hereditary non-syndromic sensorineural deafness.	Nature	https://www.nature.com/articles/387080a0	1997	gjb2	article
"Gasparini, P. et al."	High carrier frequency of the 35delG deafness mutation in European populations. Genetic Analysis Consortium of GJB2 35delG.	Eur. J. Hum. Genet.	https://www.nature.com/articles/5200406	2000	gjb2	article
"Eiberg, H. et al"	Blue eye color in humans may be caused by a perfectly associated founder mutation in a regulatory element located within the HERC2 gene inhibiting OCA2 expression.	Hum. Genet.	https://link.springer.com/article/10.1007%2Fs00439-007-0460-x	2008	herc2	article
"Ayodo, G. et al.."	Combining evidence of natural selection with association analysis increases power to detect malaria-resistance variants.	Am. J. Hum. Genet.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1950820/	2007	hbb	article
"Kuokkanen, M. et al."	Mutations in the translated region of the lactase gene (LCT) underlie congenital lactase deficiency.	Am. J. Hum. Genet.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1380240/	2006	lct	article
"Savilahti, E. et al."	Congenital lactase deficiency. A clinical study on 16 patients.	Arch. Dis. Child.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1627962/	1983	lct	article
"Mengel-From, J. et al."	Genetic determinants of hair and eye colours in the Scottish and Danish populations.	BMC Genet.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2810292/	2009	mc1r	article
"Harding, R. M. et al."	Evidence for variable selective pressures at MC1R.	Am. J. Hum. Genet.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1288200/	2000	mc1r	article
"Enattah, N. S. et al."	Identification of a variant associated with adult-type hypolactasia.	Nat. Genet.	https://www.nature.com/articles/ng826	2002	mcm6	article
"Bersaglieri, T. et al."	Genetic signatures of strong recent positive selection at the lactase gene.	Am. J. Hum. Genet.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1182075/	2004	mcm6	article
"Branicki, W. et al."	Association of polymorphic sites in the OCA2 gene with eye colour using the tree scanning method.	Ann. Hum. Genet. 	https://onlinelibrary.wiley.com/doi/full/10.1111/j.1469-1809.2007.00407.x	2008	oca2	article
			http://www.color-blindness.com/deuteranopia-red-green-color-blindness/		opn1mw	webpage
"Neitz, J. et al."	The genetics of normal and defective color vision.	Vision Res.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3075382/	2011	opn1mw	article
"Roecklein, K. A. et al."	A missense variant (P10L) of the melanopsin (OPN4) gene in seasonal affective disorder.	J. Affect. Disord.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2647333/	2009	opn4	article
"McRae, J. F. et al."	"Genetic variation in the odorant receptor OR2J3 is associated with the ability to detect the ""grassy"" smelling odor, cis-3-hexen-1-ol."	Chem. Senses	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3408771/	2012	or2j3	article
"Ben-Yosef, T. et al."	A mutation of PCDH15 among Ashkenazi Jews with the type 1 Usher syndrome.	N. Engl. J. Med.	http://www.nejm.org/doi/full/10.1056/NEJMoa021502	2003	pcdh15	article
"Toh, K. L. et al."	An hPer2 phosphorylation site mutation in familial advanced sleep phase syndrome.	Science	http://science.sciencemag.org/content/291/5506/1040.long	2001	per2	article
"Jones, C. R. et al."	Familial advanced sleep-phase syndrome: A short-period circadian rhythm variant in humans.	Nat. Med.	https://www.nature.com/articles/nm0999_1062	1999	per2	article
"Khan, S. S. et al."	A null mutation in SERPINE1 protects against biological aging in humans.	Sci. Adv.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5687852/	2017	serpine1	article
"Hunt, K. A. et al."	Novel celiac disease genetic determinants related to the immune response.	Nat. Genet.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2673512/	2008	sh2b3	article
"Norton, H. L. et al. "	Genetic evidence for the convergent evolution of light skin in Europeans and East Asians.	Mol. Biol. Evol.	https://academic.oup.com/mbe/article/24/3/710/1240790	2007	slc24a5	article
"Branicki, W. et al."	Association of the SLC45A2 gene with physiological human hair colour variation.	J. Hum. Genet.	https://www.nature.com/articles/jhg2008124	2008	slc45a2	article
"Nousbeck, J. et al."	A mutation in a skin-specific isoform of SMARCAD1 causes autosomal-dominant adermatoglyphia.	Am. J. Hum. Genet.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3155166/	2011	smarcad1	article
"Kim, U.-K. et al."	Positional cloning of the human quantitative trait locus underlying taste sensitivity to phenylthiocarbamide.	Science	http://science.sciencemag.org/content/299/5610/1221.full	2003	tas2r38	article
"Grant, S. F. A. et al."	Variant of transcription factor 7-like 2 (TCF7L2) gene confers risk of type 2 diabetes.	Nat. Genet.	https://www.nature.com/articles/ng1732	2006	tcf7l2	article
"Medland, S. E. et al."	Common variants in the trichohyalin gene are associated with straight hair in Europeans.	Am. J. Hum. Genet.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2775823/	2009	tchh	article
