où (screen) (voir user flow)	reference	nom	type	unique id	anglais	francais	allemand
intro		central_dogma	vidéo				
							
	https://www.nature.com/articles/ng1733 https://www.sciencedirect.com/science/article/pii/S0022202X15363259?via%3Dihub	ABCC11	gène	abcc11-text	The ABCC11 gene encodes a protein, which helps to transport small molecules across the cell membrane of sweat glands. The T-allele leads to lower protein levels, causing dryer earwax and reduced sweating. Individuals with the C-allele sweat more and are more likely to use a deodorant. The T-allele is associated with East Asian populations, while C is mostly present in Africans and European populations. Drier earwax and less sweat might be an adaption to a colder climate.		
				abcs11-short-text	This variation makes you sweat more, take this nice perfume with you :)		
	https://en.wikipedia.org/wiki/ABO_(gene) https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3058268/	ABO	gène	abo-text	The ABO gene ecodes a protein that influences human blood types. The protein modifies molecules on the cell surface of red blood cells. Depending on the allele, the ABO gene produces proteins leading to different modifications of the cell surface molecules and the three different blood types  A, B and 0. The C-allele causes blood type B.		
				abo-short-text	Your blood-type is B.		
	https://www.wired.com/2008/10/the-gene-for-jamaican-sprinting-success-no-not-really/ (blog entry of author)	ACTN3	gène	actn3-text	The protein encoded by the ACTN3 gene is active in skeletal muscles. It influences the "explosive" power of the muscle. The T-allele leads to a non-functional protein. Individuals with this allele (about 1/6th-1/4th of the human population) have lower muscle power, a reduced sprinting performance and have a better endurance capacity. Individuals with a C-allele in contrast, can built up more muscle strength. However, the C-allele explains only 2-3% of sprinting variability and diet and training contribute strongly to the performance.		
				actn3-short-text	Your muscles just became more powerful!		
	http://www.pnas.org/content/81/1/258	ALDH2	gène	aldh2-text	The ALDH2 gene encodes a protein, which metabolizes alcohol. Individuals with the A-allele produce a defective protein and possess therefore a sensitivity to alcohol. After drinking alcohol, they are for example more likely to suffer from severe hangovers or to have a red skin and neck color. The A-allele is over-represented in asian populations.		
				aldh2-short-text	You might have difficulties to metabolize alcohol!		
