gene_id	transcript_pos	exon_start	exon_stop	length	type
ENSG00000159450|TCHH|ENST00000368804	1:152106317:152114080:-	152114078	152114080	3	start_codon
ENSG00000159450|TCHH|ENST00000368804	1:152106317:152114080:-	152113943	152114078	136	exon
ENSG00000159450|TCHH|ENST00000368804	1:152106317:152114080:-	152113078	152113943	866	intron
ENSG00000159450|TCHH|ENST00000368804	1:152106317:152114080:-	152112227	152113078	852	exon
ENSG00000159450|TCHH|ENST00000368804	1:152106317:152114080:-	152112226	152112226	1	snp
ENSG00000159450|TCHH|ENST00000368804	1:152106317:152114080:-	152110850	152112225	1376	exon
ENSG00000159450|TCHH|ENST00000368804	1:152106317:152114080:-	152110849	152110849	1	snp
ENSG00000159450|TCHH|ENST00000368804	1:152106317:152114080:-	152107387	152110848	3462	exon
ENSG00000159450|TCHH|ENST00000368804	1:152106317:152114080:-	152107385	152107387	3	stop_codon
ENSG00000159450|TCHH|ENST00000368804	1:152106317:152114080:-	152106317	152107385	1069	utr
ENSG00000159450|TCHH|ENST00000614923	1:152106317:152115454:-	152115391	152115454	64	utr
ENSG00000159450|TCHH|ENST00000614923	1:152106317:152115454:-	152114111	152115391	1281	intron
ENSG00000159450|TCHH|ENST00000614923	1:152106317:152115454:-	152114080	152114111	32	utr
ENSG00000159450|TCHH|ENST00000614923	1:152106317:152115454:-	152114078	152114080	3	start_codon
ENSG00000159450|TCHH|ENST00000614923	1:152106317:152115454:-	152113943	152114078	136	exon
ENSG00000159450|TCHH|ENST00000614923	1:152106317:152115454:-	152113078	152113943	866	intron
ENSG00000159450|TCHH|ENST00000614923	1:152106317:152115454:-	152112227	152113078	852	exon
ENSG00000159450|TCHH|ENST00000614923	1:152106317:152115454:-	152112226	152112226	1	snp
ENSG00000159450|TCHH|ENST00000614923	1:152106317:152115454:-	152110850	152112225	1376	exon
ENSG00000159450|TCHH|ENST00000614923	1:152106317:152115454:-	152110849	152110849	1	snp
ENSG00000159450|TCHH|ENST00000614923	1:152106317:152115454:-	152107387	152110848	3462	exon
ENSG00000159450|TCHH|ENST00000614923	1:152106317:152115454:-	152107385	152107387	3	stop_codon
ENSG00000159450|TCHH|ENST00000614923	1:152106317:152115454:-	152106317	152107385	1069	utr
ENSG00000135960|EDAR|ENST00000409271	2:108894471:108989269:-	108988960	108989269	310	utr
ENSG00000135960|EDAR|ENST00000409271	2:108894471:108989269:-	108940326	108988960	48635	intron
ENSG00000135960|EDAR|ENST00000409271	2:108894471:108989269:-	108940211	108940326	116	utr
ENSG00000135960|EDAR|ENST00000409271	2:108894471:108989269:-	108931032	108940211	9180	intron
ENSG00000135960|EDAR|ENST00000409271	2:108894471:108989269:-	108931014	108931032	19	utr
ENSG00000135960|EDAR|ENST00000409271	2:108894471:108989269:-	108931012	108931014	3	start_codon
ENSG00000135960|EDAR|ENST00000409271	2:108894471:108989269:-	108930964	108931012	49	exon
ENSG00000135960|EDAR|ENST00000409271	2:108894471:108989269:-	108930242	108930964	723	intron
